# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.5-beta3

common::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000
drops::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000
drops::monzterslayer, long, 0000000000000002
exotic::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000
itemfilterbl::monzteryt::1, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323233300A2020747970653A20454D4552414C440A
itemfilterbl::monzteryt::2, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323233300A2020747970653A204F414B5F424F41540A
itemfilterbl::monzteryt::3, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323233300A2020747970653A204F414B5F424F41540A
legendary::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000
msglist::1, string, 8003686579
msglist::2, string, 80057468657265
msglist::3, string, 800767656E6572616C
msglist::4, string, 80066B656E6F6269
msglists::1, string, 8092C2A7374A6F696E206F757220C2A739446973636F726420C2A7613C746F6F6C7469703AC2A761436C69636B20746F206A6F696E2074686520446973636F7264213E3C75726C3A68747470733A2F2F646973636F72642E636F6D2F696E766974652F627734447A74523E68747470733A2F2F646973636F72642E636F6D2F696E766974652F627734447A7452C2A772C2A73721
msglists::2, string, 803BC2A737596F752063616E207669657720616C6C20C2A76151756573747320C2A737627920646F696E67202FC2A76171756573746D656E75C2A73721
msglists::3, string, 805FC2A737596F75206561726E203120C2A76141747472696275746520506F696E7420C2A7376279206C6576656C696E672075702120446F20C2A7612F4174747269627574657320C2A737746F2075736520C2A737796F757220706F696E74732E
msglists::4, string, 804AC2A761426F756E7469657320C2A737617265206461696C792071756573747320796F752063616E206765742066726F6D20666F6C6B732061726F756E642074686520C2A737546F776E21
msglists::5, string, 8040C2A737596F757220C2A7615175657374204A6F75726E616C20C2A7376973206D65616E7420746F20677569646520796F75206F6E206561636820717565737421
msglists::6, string, 8054C2A73755736520796F757220C2A7615175657374204D656E7520C2A737746F20747261636B20796F75722071756573742070726F677265737320627920646F696E6720C2A7612F71756573746D656E75C2A73721
msglists::7, string, 8045C2A739456E6368616E746564204D6174657269616C7320C2A73763616E20616C6C20626520637261667465642077697468696E2061206372616674696E67207461626C6521
msglists::8, string, 803EC2A737547261636B20C2A763426F7373657320C2A73761726F756E642074686520776F726C6420696E20796F757220C2A761426F737320446578C2A73721
msglists::9, string, 803AC2A737596F757220C2A76142616E6B20C2A73763616E20626520657870616E646564207769746820C2A76542616E6B20546F6B656E73C2A73721
msglists::10, string, 8039C2A7374C6576656C696E672075702050726F66657373696F6E7320616C6C6F7720796F7520746F206372616674206E6577207468696E677321
msglists::11, string, 80A6C2A737596F752063616E20646F6E61746520746F20676574206570696320726577617264732066726F6D206F75722053746F72653A20C2A7613C746F6F6C7469703AC2A761436C69636B20746F207669736974207468652053746F7265213E3C75726C3A68747470733A2F2F73746F72652E616476656E747572657363726166742E6E65743E73746F72652E416476656E747572657343726166742E6E6574C2A772C2A73721
msglists::12, string, 8073C2A73749742773207265636F6D6D656E64656420746F20706C6179206F6E206174206C6561737420C2A761312E31352E322B20C2A7376173206F6C6465722076657273696F6E7320C2A73777696C6C206265206C65737320636F6D70617469626C652C20627574207374696C6C20776F726B21
msglists::13, string, 8068C2A737596F752063616E2067657420616E6F7468657220C2A7615175657374204A6F75726E616C20C2A737617420616E7974696D65206279207573696E6720796F757220C2A7614D656E7520C2A7376F7220747970696E6720C2A7612F4A6F75726E616CC2A73721
msglists::14, string, 8024C2A73755736520C2A7612F537061776E20C2A737696620796F7527726520737475636B21
rare::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000
treecutter.f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, boolean, 01
uncommon::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000

