# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.5.1

111.f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, timespan, 81066D696C6C69730400000000240C8400
claim.f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000002
claimed::2eceb1f3-d68c-4fa7-b861-a19c41bc4874, long, 0000000000000001
claimed::03c15276-ecfe-49bf-b20c-c4c20b13cb87, long, 0000000000000007
claimed::4cf09405-1a3e-45d6-ae67-c774aee9b3e2, long, 0000000000000000
claimed::6ebeb42a-73ed-40c9-bee9-b559be60dcf7, long, 0000000000000002
claimed::07c977b5-7456-4158-b942-e102821c02ae, long, 0000000000000001
claimed::8b759ce2-9e6b-4845-a464-db9bd585b5fe, long, 0000000000000001
claimed::21c45905-5022-4a6a-b5b9-2c19c9fa59ef, long, 0000000000000001
claimed::32c9c9fc-bba6-41f6-8f1a-96042dacb758, long, 0000000000000001
claimed::83d83622-bf85-4840-b0cc-faddb353a5b1, long, 0000000000000001
claimed::89bf653b-341c-4576-96d9-3815bce9f2e4, long, 0000000000000001
claimed::0347b9f2-5457-4b71-809e-26324292618b, long, 0000000000000001
claimed::446ad7e1-4786-4445-a447-3611a99f599a, long, 0000000000000002
claimed::472f4060-ffff-4689-9d88-206bddf0b46a, long, 0000000000000001
claimed::963da174-5c5c-40b5-8bf0-141034bbaca0, long, 0000000000000001
claimed::50749497-16b9-40fc-8fc9-53ab8dba211f, long, 0000000000000001
claimed::a8733f1e-9e7e-4e65-a541-7a6c6b4cff80, long, 0000000000000001
claimed::c270dff3-24f4-4fc6-939f-4d5ed18eb4a4, long, 0000000000000004
claimed::d76f634d-fad1-429e-8a6b-7d1a7b9d65b0, long, 0000000000000004
claimed::de11ca2a-8350-4651-830e-85d6e3eda538, long, 0000000000000002
claimed::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000012
claimed::fa984541-8585-4aff-a545-f10879bd66c4, long, 0000000000000001
common::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000
cooldown::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, date, 810974696D657374616D700400000175F4376BD5
data, blockdata, 81FF000000002080176D696E6563726166743A6C6176615B6C6576656C3D305D
days.f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000002
